timestamp,protocol,packet_length,ipsrc,ipdst,tcpsrc,tcpdst,tcpflags,udpsrc,udpdst,icmp_type,arp_hwsrc,arp_psrc,arp_hwdst,arp_pdst
1788842445.586706,ARP,42,,,,,,,,,02:00:00:00:00:01,192.168.1.20,00:00:00:00:00:00,192.168.1.1
1788842445.786706,ARP,42,,,,,,,,,02:00:00:00:00:fe,192.168.1.1,02:00:00:00:00:01,192.168.1.20
1788842445.986706,UDP,303,0.0.0.0,255.255.255.255,,,,68.0,67.0,,,,,
1788842446.186706,UDP,71,192.168.1.20,192.168.1.53,,,,53000.0,53.0,,,,,
1788842446.386706,UDP,87,192.168.1.53,192.168.1.20,,,,53.0,53000.0,,,,,
1788842446.586706,ICMP,47,192.168.1.20,192.168.1.1,,,,,,8.0,,,,
1788842446.786706,ICMP,47,192.168.1.1,192.168.1.20,,,,,,0.0,,,,
1788842446.986706,UDP,90,192.168.1.20,129.6.15.28,,,,49152.0,123.0,,,,,
1788842447.186706,TCP,54,192.168.1.20,93.184.216.34,49153.0,80.0,S,,,,,,,
1788842447.386706,TCP,54,93.184.216.34,192.168.1.20,80.0,49153.0,SA,,,,,,,
1788842447.586706,TCP,140,192.168.1.20,93.184.216.34,49153.0,80.0,PA,,,,,,,
1788842447.786706,TCP,137,93.184.216.34,192.168.1.20,80.0,49153.0,PA,,,,,,,
1788842447.986706,TCP,54,192.168.1.20,93.184.216.34,49154.0,443.0,S,,,,,,,
1788842448.186706,TCP,54,93.184.216.34,192.168.1.20,443.0,49154.0,SA,,,,,,,
1788842448.386706,TCP,133,192.168.1.20,93.184.216.34,49154.0,443.0,PA,,,,,,,
1788842448.586706,UDP,237,192.168.1.20,192.168.1.10,,,,5060.0,5060.0,,,,,
1788842448.786706,OTHER,86,,,,,,,,,,,,
