ipsrc,ipdst,tcpsrc,tcpdst,udpsrc,udpdst,timestamp
,,,,,,1788842445.586706
,,,,,,1788842445.786706
0.0.0.0,255.255.255.255,,,68.0,67.0,1788842445.986706
192.168.1.20,192.168.1.53,,,53000.0,53.0,1788842446.186706
192.168.1.53,192.168.1.20,,,53.0,53000.0,1788842446.386706
192.168.1.20,192.168.1.1,,,,,1788842446.586706
192.168.1.1,192.168.1.20,,,,,1788842446.786706
192.168.1.20,129.6.15.28,,,49152.0,123.0,1788842446.986706
192.168.1.20,93.184.216.34,49153.0,80.0,,,1788842447.186706
93.184.216.34,192.168.1.20,80.0,49153.0,,,1788842447.386706
192.168.1.20,93.184.216.34,49153.0,80.0,,,1788842447.586706
93.184.216.34,192.168.1.20,80.0,49153.0,,,1788842447.786706
192.168.1.20,93.184.216.34,49154.0,443.0,,,1788842447.986706
93.184.216.34,192.168.1.20,443.0,49154.0,,,1788842448.186706
192.168.1.20,93.184.216.34,49154.0,443.0,,,1788842448.386706
192.168.1.20,192.168.1.10,,,5060.0,5060.0,1788842448.586706
,,,,,,1788842448.786706
